[ 2024-01-10 13:47:05,084 ] 40 root - INFO - Start dataset download...
[ 2024-01-10 13:47:12,543 ] 24 root - INFO - Dataset Downloaded Successfully. Path: /config/workspace/data
[ 2024-01-10 13:47:12,544 ] 43 root - INFO - Dataset downloaded successfully. Path: /config/workspace/data
[ 2024-01-10 13:47:12,544 ] 46 root - INFO - Start reading the number of classes...
[ 2024-01-10 13:47:12,544 ] 25 root - INFO - Number of classes in our custom Dataset is 6
[ 2024-01-10 13:47:12,544 ] 50 root - INFO - Start creating a custom YAML file...
[ 2024-01-10 13:47:12,545 ] 44 root - INFO - Appended content to existing Custom YAML File at artifacts/model/
[ 2024-01-10 13:47:12,546 ] 52 root - INFO - The Custom Model file is at artifacts/model/custom_yaml.yaml
[ 2024-01-10 13:47:12,546 ] 55 root - INFO - Start training the model...
[ 2024-01-10 13:47:12,546 ] 56 root - INFO - <<<<<<<<<<<<<<<<<<<<>>>>>>>>>>>> artifacts/model/custom_yaml.yaml /config/workspace/data/data.yaml
[ 2024-01-10 13:47:12,546 ] 16 root - INFO - Loading trainer configuration from YAML file...
[ 2024-01-10 13:47:12,563 ] 23 root - INFO - Constructing and executing the training command...
[ 2024-01-10 13:47:12,563 ] 27 root - INFO - python yolov5/train.py --img 640 --batch 6 --epochs 10 --data /config/workspace/data/data.yaml --cfg /config/workspace/artifacts/model/custom_yaml.yaml --weights yolov5s.pt --name yolov5s_results  --cache
[ 2024-01-10 13:47:23,581 ] 33 root - ERROR - Model training failed.
